datetime,open,high,low,close,volume,ret,ma_40,ma_100,signal,position,turnover,cost,strategy_ret,equity,buy_hold
2020-08-11 06:00:00+00:00,2.85,3.47,2.85,2.9515,20032.26,,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2020-08-11 07:00:00+00:00,2.9515,3.1355,2.88,2.9224,42069.37,-0.009859393528714122,,,0,0.0,0.0,0.0,-0.0,1.0,0.9901406064712859
2020-08-11 08:00:00+00:00,2.9626,3.0,2.9144,2.96,24280.76,0.012866137421297497,,,0,0.0,0.0,0.0,0.0,1.0,1.0030067438925834
2020-08-11 09:00:00+00:00,2.96,2.9736,2.85,2.8543,26371.23,-0.03570945945945947,,,0,0.0,0.0,0.0,-0.0,1.0,0.9672972844331239
2020-08-11 10:00:00+00:00,2.8566,2.9329,2.8433,2.8976,26685.94,0.015170094243772692,,,0,0.0,0.0,0.0,0.0,1.0,0.9824673786768966
2020-08-11 11:00:00+00:00,2.9167,3.1,2.9015,3.0497,12474.53,0.052491717283268846,,,0,0.0,0.0,0.0,0.0,1.0,1.0349590959601653
2020-08-11 12:00:00+00:00,3.0497,3.329,3.0488,3.1111,136779.72,0.02013312784864074,,,0,0.0,0.0,0.0,0.0,1.0,1.0550922238088063
2020-08-11 13:00:00+00:00,3.111,3.2768,2.8625,3.2768,233029.25,0.0532609045032304,,,0,0.0,0.0,0.0,0.0,1.0,1.1083531283120367
2020-08-11 14:00:00+00:00,3.2787,3.5208,3.0744,3.2499,362238.07,-0.008209228515625111,,,0,0.0,0.0,0.0,-0.0,1.0,1.1001438997964115
2020-08-11 15:00:00+00:00,3.2499,3.3926,3.15,3.19,170827.9,-0.018431336348810667,,,0,0.0,0.0,0.0,-0.0,1.0,1.0817125634476008
2020-08-11 16:00:00+00:00,3.1751,3.3595,3.1143,3.2475,105510.39,0.018025078369906078,,,0,0.0,0.0,0.0,0.0,1.0,1.0997376418175069
2020-08-11 17:00:00+00:00,3.2475,3.384,3.2475,3.2978,67008.38,0.015488837567359415,,,0,0.0,0.0,0.0,0.0,1.0,1.1152264793848663
2020-08-11 18:00:00+00:00,3.3,3.3047,3.21,3.2676,31896.32,-0.009157620231669661,,,0,0.0,0.0,0.0,-0.0,1.0,1.1060688591531966
2020-08-11 19:00:00+00:00,3.2676,3.2754,3.155,3.1886,49635.13,-0.024176765822010005,,,0,0.0,0.0,0.0,-0.0,1.0,1.0818920933311866
2020-08-11 20:00:00+00:00,3.1938,3.203,2.95,3.0774,121302.78,-0.034874239478140945,,,0,0.0,0.0,0.0,-0.0,1.0,1.0470178538530457
2020-08-11 21:00:00+00:00,3.0775,3.2495,3.07,3.2184,44151.99,0.04581789822577509,,,0,0.0,0.0,0.0,0.0,1.0,1.0928357520788208
2020-08-11 22:00:00+00:00,3.2128,3.25,3.08,3.2061,34992.96,-0.003821774794929067,,,0,0.0,0.0,0.0,-0.0,1.0,1.0890139772838916
2020-08-11 23:00:00+00:00,3.2037,3.3191,3.2,3.2985,43097.8,0.02882006175727514,,,0,0.0,0.0,0.0,0.0,1.0,1.117834039041167
2020-08-12 00:00:00+00:00,3.2985,3.2985,3.09,3.1127,64788.66,-0.05632863422767942,,,0,0.0,0.0,0.0,-0.0,1.0,1.0615054048134875
2020-08-12 01:00:00+00:00,3.1064,3.32,3.08,3.232,69220.85,0.03832685449930939,,,0,0.0,0.0,0.0,0.0,1.0,1.0998322593127967
2020-08-12 02:00:00+00:00,3.2311,3.2575,3.1317,3.1317,36985.7,-0.031033415841584255,,,0,0.0,0.0,0.0,-0.0,1.0,1.0687988434712126
2020-08-12 03:00:00+00:00,3.1317,3.3,3.1129,3.2802,55281.42,0.04741833508956783,,,0,0.0,0.0,0.0,0.0,1.0,1.1162171785607804
2020-08-12 04:00:00+00:00,3.2802,3.2953,3.15,3.2611,40644.95,-0.005822815681970628,,,0,0.0,0.0,0.0,-0.0,1.0,1.1103943628788098
2020-08-12 05:00:00+00:00,3.2478,3.2478,3.1769,3.2296,17503.99,-0.009659317408236445,,,0,0.0,0.0,0.0,-0.0,1.0,1.1007350454705733
