factor,direction,n_obs,rolling_window,pearson_ic,clipped_ic,spearman_ic,annual_return,sharpe,max_drawdown,avg_hourly_turnover,avg_exposure,win_rate
factor_mfi_14,1,56648,2400,0.012898010205015091,0.01355281826194321,-0.018787005477888516,0.16192931699857094,0.5658420765023796,-2.918878521304573,0.14713406135878482,0.3947215214438191,0.186602448749162
factor_ret_autocorr_12w,-1,54665,2400,-0.01096259599010623,-0.010843516521768697,-0.012625487415251933,-0.10355093387074343,-0.049735540206515334,-0.9044142967885848,0.011273221247993225,0.46775929290969076,0.23383084577114427
factor_mom_4w,1,56010,2400,0.005009820853684925,0.009430032253515656,0.008108413540265914,-0.02352803983179297,0.16082066041326312,-0.937980228104159,0.023234479473563503,0.4006492246352522,0.19995765851593097
factor_rev_2w,-1,56346,2400,-0.004046673719359868,-0.008839137410549645,-0.007434519187931023,0.031984518061423106,0.30378055333641285,-1.7527740850927103,0.026533528571176544,0.38732953442831186,0.19367700504569352
factor_minus_di,-1,56669,2400,-0.009032618087861979,-0.008753527601146779,0.021583257261394567,-0.11850949235470742,-0.06739921192441518,-1.4138795727255096,0.1250639521549671,0.392657410511088,0.18457358597085494
