spec,beta_used,half_life,adf_tau,total_return,sharpe,max_drawdown,n_trades,note
EG levels,0.38008348073567966,43.302548739773606,-3.1946962744741643,0.4571285938822498,0.5913924699605952,-0.12430595122434662,22,baseline: y - α - βx
naive β=1,1.0,,1.607279539402156,0.017931106521895446,0.06959546334862145,-0.19223652701210192,3,equal share; brief warns this hurts stationarity
Johansen log-spread,0.3883222777485606,31.374870423702916,-3.4061619132890852,0.5728650135749447,0.7169551799621638,-0.11981648393357625,25,log y + (-0.625) log x
