book,total_return,sharpe,max_drawdown,n_trades,frac_allowed
ungated,0.4571285938822498,0.5913924699605952,-0.12430595122434662,22,1.0
adf_10pct_gate,-0.01647162578914063,-0.34926285316026556,-0.02410693418181664,7,0.01097752221641401
