pair,period,nobs,alpha,beta,adf_tau,coint_5pct,coint_10pct,ecm_lambda,ecm_t
EWA_EWC,2019-01-02 → 2020-02-29,292,0.43706924830803473,0.66418416819198,-2.121874337516157,False,False,-0.06285029161903224,-2.731290129968738
EWA_EWC,2020-03-01 → 2021-12-31,465,2.4140265259092075,0.5596319886094143,-1.21734553482146,False,False,-0.023097436250744292,-2.3211182815473888
EWA_EWC,2022-01-01 → 2026-08-12,1156,9.42898336362299,0.337607577186942,-3.1657493628155895,False,True,-0.01806887449275084,-3.5348330247453648
XLE_XOP,2019-01-02 → 2020-02-29,292,16.450915209641266,0.06931775011461738,-1.995797297378838,False,False,-0.0010333614532483937,-0.08467776321906571
XLE_XOP,2020-03-01 → 2021-12-31,465,5.177888641282266,0.206371487452516,-3.893913440157557,True,True,-0.0668791743982938,-4.416147776108779
XLE_XOP,2022-01-01 → 2026-08-12,1156,-7.333617332478752,0.3719694556195954,-2.421630461762265,False,False,-0.0022252298341733628,-1.0097586885536949
GLD_GDX,2019-01-02 → 2020-02-29,292,57.73049799150431,3.245920322155939,-1.05627691379999,False,False,-0.02196953819150552,-1.646789729959445
GLD_GDX,2020-03-01 → 2021-12-31,465,106.22769049593262,1.947723443204893,-3.107827234499641,False,True,-0.05877879192492485,-3.998003992783519
GLD_GDX,2022-01-01 → 2026-08-12,1156,75.35710079747696,3.900126557898897,-2.752707092285276,False,False,-0.01033387610609798,-3.0242315216495537
