Z,n_trades,avg_holding_days,time_in_market
0.5,22,70.36363636363636,0.8092002090956613
0.75,16,86.25,0.7213800313643491
1.0,13,91.38461538461539,0.6210141139571353
1.25,9,113.33333333333333,0.5331939362258233
1.5,8,109.75,0.4589649764767381
1.75,6,91.16666666666667,0.2859383167799268
2.0,3,127.66666666666667,0.20020909566126502
2.5,2,136.0,0.14218504966021955
