,value
annual_return,0.16192931699857094
sharpe,0.5658420765023796
max_drawdown,-2.918878521304573
avg_hourly_turnover,0.14713406135878482
avg_exposure,0.3947215214438191
win_rate,0.186602448749162
selected_direction,1.0
selected_factor,factor_mfi_14
