rank,factor,pearson_ic,clipped_ic,spearman_ic,n_obs,direction,score
1,factor_mfi_14,0.012898010205015091,0.01355281826194321,-0.018787005477888516,56648,1,0.01355281826194321
2,factor_ret_autocorr_12w,-0.01096259599010623,-0.010843516521768697,-0.012625487415251933,54665,-1,0.010843516521768697
3,factor_mom_4w,0.005009820853684925,0.009430032253515656,0.008108413540265914,56010,1,0.009430032253515656
4,factor_rev_2w,-0.004046673719359868,-0.008839137410549645,-0.007434519187931023,56346,-1,0.008839137410549645
5,factor_minus_di,-0.009032618087861979,-0.008753527601146779,0.021583257261394567,56669,-1,0.008753527601146779
