factor,pearson_ic,clipped_ic,spearman_ic,n_obs
factor_mom_4h,-0.03479716919891865,-0.0007952617239518259,-0.047067117842886384,9995
factor_vol_price,-0.029535449533054505,0.006410472456985687,0.022982155295718214,9975
factor_mom_24h,-0.01637217531819667,0.000821239894701455,-0.0203746227218896,9975
factor_rsi_14,0.014001531925571117,0.014243489366505373,-0.018730561343051157,9985
factor_mom_72h,-0.011474339412912225,0.003437343415479408,0.006213796099982425,9927
factor_range_pos,0.0049609400304015915,0.005198338087909964,-0.027274633902651075,9952
