datetime,open,high,low,close,volume,ret_1h,future_ret_1h,factor_mom_4h,factor_mom_24h,factor_mom_72h,factor_vol_price,factor_range_pos,factor_rsi_14,rolling_ic
2020-01-01 00:00:00+00:00,7195.24,7196.25,7175.46,7177.02,511.814901,,0.005468843614759411,,,,,,,
2020-01-01 01:00:00+00:00,7176.47,7230.0,7175.71,7216.27,883.052603,0.005468843614759411,0.0036833433338829824,,,,,,,
2020-01-01 02:00:00+00:00,7215.52,7244.87,7211.41,7242.85,655.156809,0.0036833433338829824,-0.0024631187999198945,,,,,,,
2020-01-01 03:00:00+00:00,7242.66,7245.0,7220.0,7225.01,783.724867,-0.0024631187999198945,-0.0010712787940777568,,,,,,,
2020-01-01 04:00:00+00:00,7225.0,7230.0,7215.03,7217.27,467.812578,-0.0010712787940777568,0.0009615824265960526,0.005608177210039811,,,,,,
2020-01-01 05:00:00+00:00,7217.26,7229.76,7216.65,7224.21,344.670596,0.0009615824265960526,0.00019517705050109413,0.0011002914247941753,,,,,,
2020-01-01 06:00:00+00:00,7224.24,7236.27,7221.51,7225.62,621.467023,0.00019517705050109413,-0.002185279602303969,-0.002378897809564018,,,,,,
2020-01-01 07:00:00+00:00,7225.88,7232.94,7199.11,7209.83,627.344854,-0.002185279602303969,-0.0012746486394269452,-0.0021010351542766204,,,,,,
2020-01-01 08:00:00+00:00,7209.83,7210.0,7180.0,7200.64,915.545974,-0.0012746486394269452,-0.0016484645809261567,-0.002304195353644789,,,,,,
2020-01-01 09:00:00+00:00,7200.29,7210.51,7188.0,7188.77,636.386102,-0.0016484645809261567,0.0018403704667140364,-0.004905726716139203,,,,,,
2020-01-01 10:00:00+00:00,7189.07,7210.0,7185.2,7202.0,537.762804,0.0018403704667140364,-0.0006664815329076035,-0.0032689236356188145,,,,,,
2020-01-01 11:00:00+00:00,7202.01,7237.73,7188.61,7197.2,1076.959481,-0.0006664815329076035,0.003944589562607792,-0.0017517750071777138,,,,,,
2020-01-01 12:00:00+00:00,7197.2,7233.33,7196.15,7225.59,868.75358,0.003944589562607792,-0.0006075628426190915,0.0034649697804638446,,,,,,
2020-01-01 13:00:00+00:00,7225.84,7231.89,7212.88,7221.2,612.180902,-0.0006075628426190915,3.185066193989172e-05,0.004511202890063126,,,,,,
2020-01-01 14:00:00+00:00,7221.17,7234.97,7208.17,7221.43,617.714185,3.185066193989172e-05,0.0017669630530239289,0.0026978617050819054,,,,,61.92070732911681,
2020-01-01 15:00:00+00:00,7221.6,7255.0,7218.29,7234.19,1393.888792,0.0017669630530239289,0.0015454390885503155,0.005139498693936595,,,,,55.61092644744912,
2020-01-01 16:00:00+00:00,7234.2,7246.42,7214.0,7245.37,881.93278,0.0015454390885503155,-0.0011786837663224636,0.002737492716857748,,,,,50.91357977108304,
2020-01-01 17:00:00+00:00,7244.34,7249.99,7224.92,7236.83,1069.210567,-0.0011786837663224636,0.0005306190693992185,0.002164460200520635,,,,,54.370282351357574,
2020-01-01 18:00:00+00:00,7237.02,7246.72,7225.17,7240.67,611.693307,0.0005306190693992185,-0.0015454370935287232,0.002664292252365419,,,,,58.85711549380507,
2020-01-01 19:00:00+00:00,7240.8,7241.0,7225.49,7229.48,417.746637,-0.0015454370935287232,0.0010028383784173034,-0.0006510749648543923,,,,,51.97359979340357,
2020-01-01 20:00:00+00:00,7229.48,7242.98,7224.68,7236.73,391.834174,0.0010028383784173034,-0.0004919348932459489,-0.0011924856839610198,,,,,53.93569287571103,
2020-01-01 21:00:00+00:00,7237.26,7242.75,7227.0,7233.17,285.454078,-0.0004919348932459489,-0.004863704295626992,-0.0005057463005210261,,,,,58.988376441938215,
2020-01-01 22:00:00+00:00,7233.32,7234.49,7186.0,7197.99,769.030411,-0.004863704295626992,0.00039733314439183154,-0.005894482140464952,,,,,49.21624815088539,
2020-01-01 23:00:00+00:00,7197.62,7204.17,7175.15,7200.85,811.25016,0.00039733314439183154,0.0014123332662117072,-0.003960174175735909,,,,,54.17903169606941,
2020-01-02 00:00:00+00:00,7200.77,7212.5,7185.46,7211.02,391.352377,0.0014123332662117072,-0.002777693030944439,-0.003552709580155522,0.0047373422395367015,,-0.005480221208928664,,53.19767954599331,
2020-01-02 01:00:00+00:00,7211.04,7211.16,7185.11,7190.99,402.660139,-0.002777693030944439,-0.003055212147423325,-0.005831468083841607,-0.0035031948638286625,,0.003512140231419895,,48.11501477394009,
2020-01-02 02:00:00+00:00,7190.99,7191.0,7155.35,7169.02,1387.377886,-0.003055212147423325,-0.005497264619153119,-0.004024734682876674,-0.01019350117702289,,-0.022822677305740537,,31.532918245857104,
2020-01-02 03:00:00+00:00,7169.04,7169.06,7120.37,7129.61,1557.96443,-0.005497264619153119,0.0017672775930239748,-0.009893276488192493,-0.013204133973517052,,-0.030934262265455155,,25.62477725369203,
2020-01-02 04:00:00+00:00,7129.25,7161.0,7116.7,7142.21,1252.447877,0.0017672775930239748,-0.0004592416072896066,-0.009542339363918018,-0.010400054314165907,,-0.01388095113816991,,30.26222203937877,
2020-01-02 05:00:00+00:00,7142.61,7152.05,7126.93,7138.93,569.50899,-0.0004592416072896066,-0.00041462796245372857,-0.0072396151294883415,-0.011804750969310107,,0.007037961382206939,,25.092695685182377,
2020-01-02 06:00:00+00:00,7138.93,7149.02,7121.43,7135.97,687.600665,-0.00041462796245372857,-0.003559432004338614,-0.004610114074169114,-0.012407239793955305,,0.0033454835854204944,,20.12428537571361,
2020-01-02 07:00:00+00:00,7136.04,7140.63,7105.0,7110.57,1548.403823,-0.003559432004338614,0.00615843736859345,-0.0026705528072362705,-0.01376731490201577,,-0.026241680205411736,,18.399318868388278,
2020-01-02 08:00:00+00:00,7110.98,7157.48,7109.11,7154.36,1114.825128,0.00615843736859345,0.001069278034653065,0.0017011541245637307,-0.006427206470536073,,-0.004703880098990779,,32.14769489172842,
2020-01-02 09:00:00+00:00,7153.57,7165.0,7135.36,7162.01,840.001328,0.001069278034653065,-2.5132609421163465e-05,0.003232977491024469,-0.0037224726900429994,,-2.468837953258705e-05,,35.86004869162072,
2020-01-02 10:00:00+00:00,7162.18,7180.0,7153.33,7161.83,1446.219984,-2.5132609421163465e-05,-0.0030774257417447437,0.0036238941587478646,-0.005577617328519913,,-0.00790167331036116,,33.818561939369246,
2020-01-02 11:00:00+00:00,7161.89,7168.67,7139.03,7139.79,761.15657,-0.0030774257417447437,0.0025911126237605497,0.004109375197768994,-0.007976713166231275,,0.0020162510463810355,,31.286663338259075,
2020-01-02 12:00:00+00:00,7139.73,7163.4,7139.03,7158.29,794.030497,0.0025911126237605497,-0.003791408283263187,0.0005493153825080199,-0.009314118293454299,,0.0015180021555849363,,41.52208278082748,
2020-01-02 13:00:00+00:00,7158.86,7163.35,7107.43,7131.15,1566.280693,-0.003791408283263187,0.0006226204749584241,-0.004308846259639454,-0.012470226555143182,,-0.019883474982510994,,36.455249510520474,
