datetime,factor_mom_24h,future_ret_1h,rolling_ic
2020-01-01 00:00:00+00:00,,0.005468843614759411,
2020-01-01 01:00:00+00:00,,0.0036833433338829824,
2020-01-01 02:00:00+00:00,,-0.0024631187999198945,
2020-01-01 03:00:00+00:00,,-0.0010712787940777568,
2020-01-01 04:00:00+00:00,,0.0009615824265960526,
2020-01-01 05:00:00+00:00,,0.00019517705050109413,
2020-01-01 06:00:00+00:00,,-0.002185279602303969,
2020-01-01 07:00:00+00:00,,-0.0012746486394269452,
2020-01-01 08:00:00+00:00,,-0.0016484645809261567,
2020-01-01 09:00:00+00:00,,0.0018403704667140364,
2020-01-01 10:00:00+00:00,,-0.0006664815329076035,
2020-01-01 11:00:00+00:00,,0.003944589562607792,
2020-01-01 12:00:00+00:00,,-0.0006075628426190915,
2020-01-01 13:00:00+00:00,,3.185066193989172e-05,
2020-01-01 14:00:00+00:00,,0.0017669630530239289,
2020-01-01 15:00:00+00:00,,0.0015454390885503155,
2020-01-01 16:00:00+00:00,,-0.0011786837663224636,
2020-01-01 17:00:00+00:00,,0.0005306190693992185,
2020-01-01 18:00:00+00:00,,-0.0015454370935287232,
2020-01-01 19:00:00+00:00,,0.0010028383784173034,
2020-01-01 20:00:00+00:00,,-0.0004919348932459489,
2020-01-01 21:00:00+00:00,,-0.004863704295626992,
2020-01-01 22:00:00+00:00,,0.00039733314439183154,
2020-01-01 23:00:00+00:00,,0.0014123332662117072,
2020-01-02 00:00:00+00:00,0.0047373422395367015,-0.002777693030944439,
2020-01-02 01:00:00+00:00,-0.0035031948638286625,-0.003055212147423325,
2020-01-02 02:00:00+00:00,-0.01019350117702289,-0.005497264619153119,
2020-01-02 03:00:00+00:00,-0.013204133973517052,0.0017672775930239748,
2020-01-02 04:00:00+00:00,-0.010400054314165907,-0.0004592416072896066,
2020-01-02 05:00:00+00:00,-0.011804750969310107,-0.00041462796245372857,
2020-01-02 06:00:00+00:00,-0.012407239793955305,-0.003559432004338614,
2020-01-02 07:00:00+00:00,-0.01376731490201577,0.00615843736859345,
2020-01-02 08:00:00+00:00,-0.006427206470536073,0.001069278034653065,
2020-01-02 09:00:00+00:00,-0.0037224726900429994,-2.5132609421163465e-05,
2020-01-02 10:00:00+00:00,-0.005577617328519913,-0.0030774257417447437,
2020-01-02 11:00:00+00:00,-0.007976713166231275,0.0025911126237605497,
2020-01-02 12:00:00+00:00,-0.009314118293454299,-0.003791408283263187,
2020-01-02 13:00:00+00:00,-0.012470226555143182,0.0006226204749584241,
2020-01-02 14:00:00+00:00,-0.011886842356707783,-0.0006460572986958235,
2020-01-02 15:00:00+00:00,-0.01426697391138465,-0.011030741917660625,
2020-01-02 16:00:00+00:00,-0.02664460200100205,-0.01166708260544047,
2020-01-02 17:00:00+00:00,-0.03686558893880332,0.0005710153743738733,
2020-01-02 18:00:00+00:00,-0.036826702501287834,0.0013263512292767121,
2020-01-02 19:00:00+00:00,-0.034056391331049984,-0.004980474763255693,
2020-01-02 20:00:00+00:00,-0.03983014427787135,0.004208108524297982,
2020-01-02 21:00:00+00:00,-0.03531508315164722,-0.0004199073337602943,
2020-01-02 22:00:00+00:00,-0.031007267306567443,-0.0013032631760050428,
2020-01-02 23:00:00+00:00,-0.032654478290757405,-0.004121618614613576,
2020-01-03 00:00:00+00:00,-0.03800017195902938,-0.006941040795732989,
2020-01-03 01:00:00+00:00,-0.04201646782988144,0.00987537832874863,
2020-01-03 02:00:00+00:00,-0.029591213303910457,-0.0006957141707202297,
2020-01-03 03:00:00+00:00,-0.02490599065025989,0.03713298542586063,
2020-01-03 04:00:00+00:00,0.009518062336447697,0.0014257599314304592,
2020-01-03 05:00:00+00:00,0.011421879749486274,-0.002527536296113686,
2020-01-03 06:00:00+00:00,0.009283951586119388,0.00013745761723460426,
2020-01-03 07:00:00+00:00,0.013028491386766428,0.007967281253774328,
2020-01-03 08:00:00+00:00,0.01484968606556003,0.012095419111368244,
2020-01-03 09:00:00+00:00,0.026027609567705223,-0.004922146529457994,
2020-01-03 10:00:00+00:00,0.021003011800056592,0.0038579096721256256,
2020-01-03 11:00:00+00:00,0.028105868660002642,-0.0024085684003455343,
2020-01-03 12:00:00+00:00,0.022978951677006698,0.003562854544312488,
2020-01-03 13:00:00+00:00,0.030530840046836705,-0.01281013271428133,
2020-01-03 14:00:00+00:00,0.01669658710772337,0.009021700325167359,
2020-01-03 15:00:00+00:00,0.02653211760515406,0.008995680434087605,
2020-01-03 16:00:00+00:00,0.04731918007123892,-0.0041659727891708576,
2020-01-03 17:00:00+00:00,0.05526797550659679,-0.0016722726321027892,
2020-01-03 18:00:00+00:00,0.05290205648965718,1.6342183533524235e-05,
2020-01-03 19:00:00+00:00,0.05152457229922369,-0.003553005006073806,
2020-01-03 20:00:00+00:00,0.05303310503433112,-0.0046453528021768165,
2020-01-03 21:00:00+00:00,0.04374918490683943,0.0024110943292598996,
2020-01-03 22:00:00+00:00,0.04670528187188161,0.006081725237516045,
2020-01-03 23:00:00+00:00,0.054445275499554135,-0.005816233172134422,
2020-01-04 00:00:00+00:00,0.05265100187400895,0.0009476544183701918,
2020-01-04 01:00:00+00:00,0.06101308636419711,0.0025543290884315617,
2020-01-04 02:00:00+00:00,0.053321316452202616,0.0007205407330683755,
2020-01-04 03:00:00+00:00,0.05481412650099826,0.00023864363141967715,
2020-01-04 04:00:00+00:00,0.017290806483601706,0.0013401755452728814,
2020-01-04 05:00:00+00:00,0.017203866230314446,0.0013982891041011136,
2020-01-04 06:00:00+00:00,0.02120734995598572,-0.0009313442901117686,
2020-01-04 07:00:00+00:00,0.020116031602577245,-0.0002068559126087166,
2020-01-04 08:00:00+00:00,0.011843373825854542,0.002353472835696646,
2020-01-04 09:00:00+00:00,0.002103853617512419,-0.006189671749132208,
2020-01-04 10:00:00+00:00,0.0008273787138022293,0.0024800841725536316,
2020-01-04 11:00:00+00:00,-0.0005462872898973625,-0.0032113624436885813,
2020-01-04 12:00:00+00:00,-0.0013505799709945254,-0.0012320710416812153,
2020-01-04 13:00:00+00:00,-0.006122029645374005,0.0017579697366332248,
2020-01-04 14:00:00+00:00,0.00854477010171295,0.0003102483079848728,
2020-01-04 15:00:00+00:00,-0.00016256430852801262,-0.0016231747823128861,
2020-01-04 16:00:00+00:00,-0.010685036481032473,0.006141963101691461,
2020-01-04 17:00:00+00:00,-0.00044457979731515884,-0.006130313017291833,
2020-01-04 18:00:00+00:00,-0.004908102454595942,0.003819666836368807,
2020-01-04 19:00:00+00:00,-0.0011235067573824864,0.000849372105420354,
2020-01-04 20:00:00+00:00,0.00328960405849954,0.0013104374572610045,
2020-01-04 21:00:00+00:00,0.009292873815735403,-5.985840765754258e-05,
2020-01-04 22:00:00+00:00,0.006804957427923197,0.0005265134199698984,
2020-01-04 23:00:00+00:00,0.0012457521892561552,0.002633901315046927,
2020-01-05 00:00:00+00:00,0.009755910515129473,0.011622734448320404,
2020-01-05 01:00:00+00:00,0.02052493036135483,-0.0020632294702634946,
2020-01-05 02:00:00+00:00,0.015824602917916986,0.004325753413247702,
2020-01-05 03:00:00+00:00,0.019484229746996817,-0.002521405191820647,
2020-01-05 04:00:00+00:00,0.0166710748398744,0.0002655173431100888,
2020-01-05 05:00:00+00:00,0.015579963211517445,-0.00021718379647994723,
2020-01-05 06:00:00+00:00,0.013941612190956798,0.000821991283942447,
2020-01-05 07:00:00+00:00,0.015721049358270456,-0.0044991512173030435,
2020-01-05 08:00:00+00:00,0.01136037263546763,-0.0003108996574721079,
2020-01-05 09:00:00+00:00,0.008672058751636236,-0.001699036315218394,
2020-01-05 10:00:00+00:00,0.013229848462074534,0.000972337602088702,
2020-01-05 11:00:00+00:00,0.011705934068929835,0.00467238724228114,
2020-01-05 12:00:00+00:00,0.019707666873151286,-0.003467877875985237,
2020-01-05 13:00:00+00:00,0.01742498507642498,9.016101141812172e-05,
2020-01-05 14:00:00+00:00,0.01573109262073702,0.004924769437365306,
2020-01-05 15:00:00+00:00,0.02041675149166755,-0.0009426357917738937,
2020-01-05 16:00:00+00:00,0.021112313897012625,0.00043825672998831777,
2020-01-05 17:00:00+00:00,0.015323742279301333,-0.003473706067933402,
2020-01-05 18:00:00+00:00,0.018037695773321705,0.000728619977630629,
2020-01-05 19:00:00+00:00,0.014902867551122467,-0.0016845465023495043,
2020-01-05 20:00:00+00:00,0.012333368750562013,-0.008488077937456207,
2020-01-05 21:00:00+00:00,0.0024269863468413533,-0.0017357624054763487,
2020-01-05 22:00:00+00:00,0.0007469143864688998,0.00041056428117958177,
2020-01-05 23:00:00+00:00,0.000630939705824396,0.0027178528962119586,
2020-01-06 00:00:00+00:00,0.0007147235769271454,0.006064712857868804,
2020-01-06 01:00:00+00:00,-0.004783367608772071,0.01723445813969149,
2020-01-06 02:00:00+00:00,0.014461719097395243,-0.0013957602788342571,
2020-01-06 03:00:00+00:00,0.008682462122073353,-0.001509103687888591,
2020-01-06 04:00:00+00:00,0.009706133987024579,0.00044225926752305966,
2020-01-06 05:00:00+00:00,0.009884544021278696,-0.0017058616592657838,
2020-01-06 06:00:00+00:00,0.008380824673147824,-0.001607712765957503,
2020-01-06 07:00:00+00:00,0.005932769979219099,0.005279764941241938,
2020-01-06 08:00:00+00:00,0.01581416006621761,0.000427953441845208,
2020-01-06 09:00:00+00:00,0.016564930921114662,0.0013826386148185765,
2020-01-06 10:00:00+00:00,0.019702985251755845,-0.0021821875305836347,
