period,ann_return,ann_vol,sharpe,max_drawdown,total_return,hit_rate,avg_abs_position,turnover_per_bar,ic,method,horizon
train,0.09732807728535352,0.38225349301877587,0.25461658052284397,-0.6920705773875793,0.3642803276204476,0.09671516149693477,0.20001829993595022,0.05593680422118522,0.15143236039763064,equal_weight,1h
valid,0.006651377085146278,0.25846674744796705,0.02573397603684123,-0.25588692802993274,0.00829827627437929,0.0697227559703541,0.14365449720925977,0.04739683411108061,0.17076161026522785,equal_weight,1h
test,0.27007699714664546,0.2240841863038231,1.205247909731851,-0.11784499895806078,0.33694880157713447,0.06990575532985635,0.1424650013724952,0.04007685973099094,0.18326793296380905,equal_weight,1h
train,0.3538676981235965,0.3642400240644355,0.9715233767418043,-0.4813472981312652,1.3244589290386521,0.09601366395217617,0.20001829993595022,0.06667276664531674,0.1662956423546303,ic_weight,1h
valid,0.07784252259529832,0.27015901485450255,0.2881359433340448,-0.3176126385582294,0.09711654445707607,0.0819837130570043,0.16982340561808035,0.0653307713423003,0.17830285250683908,ic_weight,1h
test,0.03970049486841849,0.22700432151928562,0.17488871842929057,-0.2128003711360641,0.04953044616631619,0.08317320889376888,0.17631988288040992,0.061670784152255465,0.1852837646561086,ic_weight,1h
train,0.35814550874710194,0.3213690705579111,1.114436769304978,-0.4478048860334871,1.340469953800401,0.09619666331167841,0.20001829993595022,0.08698569555006558,0.10455607376736066,linear,1h
valid,-0.11137369130642027,0.23518430995763076,-0.4735591899242114,-0.3799755616130618,-0.13895012240729376,0.08143471497849758,0.17156189953335163,0.08966968615609845,0.10959302525573543,linear,1h
test,-0.3048425273320371,0.19948125099845787,-1.528176336403634,-0.45813296121075964,-0.3803223722844433,0.0854607008875469,0.18665934669228657,0.09479366822216122,0.11370194659342937,linear,1h
train,0.36234263271762285,0.3212960811720263,1.1277530413563297,-0.43391045901895264,1.3561789838941758,0.09622716320492879,0.20001829993595022,0.08680269619056333,0.10466722657130705,ridge,1h
valid,-0.11806427725293202,0.23523789493951408,-0.501893103929065,-0.3883227549703022,-0.1472973157645343,0.08134321529874645,0.17165339921310274,0.08966968615609845,0.10972019940835559,ridge,1h
test,-0.30869839024886736,0.19944961437777456,-1.5477512514221579,-0.46294354634980395,-0.38513295742348763,0.08536920120779577,0.18656784701253545,0.09479366822216122,0.11383365976439286,ridge,1h
train,0.39587740922763276,0.2036581262007084,1.9438331119549295,-0.1737169524979798,1.4816932210441114,0.011620459328392351,0.020953426663006678,0.00597797907707323,-0.0028657698026892183,tree,1h
valid,-0.04333693176430812,0.0508874304842131,-0.851623502148583,-0.07472236513155561,-0.05406727480047069,9.149967975112087e-05,0.0003659987190044835,0.0005489980785067252,-0.007747179140185303,tree,1h
test,-0.030845435662985622,0.07700934190710089,-0.4005414784636852,-0.08372192447562654,-0.03848285004118379,0.0024704913532802636,0.005489980785067252,0.0018299935950224174,0.003388154388131302,tree,1h
train,0.004106047040588056,0.07804317431977782,0.052612506812751404,-0.692070577387579,0.36867802646904746,0.09675647636774173,0.2000427180911116,0.055899673511732216,0.15144252125662544,equal_weight,1d
valid,0.00019669882800234394,0.052770336316317806,0.0037274507182081407,-0.25588692802993274,0.0058869534167056425,0.0696631270596851,0.14362870743317466,0.04741852801171732,0.17075588645993506,equal_weight,1d
test,0.01162713556164601,0.04572743034896706,0.25427047776168454,-0.1148713998038784,0.3480176877013239,0.06993135011441648,0.14233409610983982,0.039725400457665906,0.18315098007057395,equal_weight,1d
train,0.003802838659151638,0.07942956924847148,0.04787686368102542,-0.4734560443848601,0.3414532366476122,0.09864827754554054,0.2000427180911116,0.032404723400360054,0.10082923699920185,ic_weight,1d
valid,0.0005364775443920065,0.04458394252939879,0.012032976761493255,-0.178065073404012,0.016056111492981584,0.04183449285975833,0.08412669351885756,0.019772976931526912,0.12494274778746528,ic_weight,1d
test,0.010033218028003181,0.041594934726427966,0.24121249604049566,-0.15759251390805185,0.3003093341258487,0.044393592677345536,0.08924485125858124,0.01977116704805492,0.14303031488315496,ic_weight,1d
