method,lookback,q,fee_bps,period,ann_return,ann_vol,sharpe,max_drawdown,total_return,hit_rate,avg_abs_position,turnover_per_bar,ic,horizon
equal_weight,-1,0.6,2.0,train,0.6602013243717952,0.5996806071104637,1.1009215848298783,-0.48051203930392905,2.471006943170993,0.39186262848080033,0.8000121999573001,0.11288010491963278,0.15143236039763064,1h
equal_weight,-1,0.6,2.0,valid,0.1854356354780447,0.4798033233517236,0.38648259912553723,-0.31797584466457574,0.23135000686524765,0.3670052154817458,0.7623753316863391,0.13743251898618355,0.17076161026522785,1h
equal_weight,-1,0.6,2.0,test,-0.10088163855900587,0.3850800353069703,-0.26197576947500556,-0.44324234294475184,-0.12586020865425496,0.36334522829170096,0.7505718729984445,0.13487052795315216,0.18326793296380905,1h
equal_weight,288,0.6,2.0,train,0.3051562171017556,0.600046474338424,0.5085543039615439,-0.52462681809836,1.1421411975018163,0.38777564278525023,0.8106871625949309,0.16933540732607436,0.15143236039763064,1h
equal_weight,288,0.6,2.0,valid,-0.23901407159414312,0.4874715232888454,-0.49031391614750425,-0.510067470834093,-0.2981946105539307,0.38512215207246775,0.8119681581114466,0.17686888095891665,0.17076161026522785,1h
equal_weight,288,0.6,2.0,test,-0.00964931731413836,0.382977911591367,-0.025195493061318037,-0.4212463472043544,-0.012038514717605864,0.3905206331777839,0.8040991856528502,0.17522188672339647,0.18326793296380905,1h
equal_weight,576,0.6,2.0,train,0.30710728947665666,0.6030783103009381,0.509232854558157,-0.6552571963540657,1.1494436872228047,0.39427212004757983,0.8185866349467776,0.15277396529112147,0.15143236039763064,1h
equal_weight,576,0.6,2.0,valid,0.09949482182794368,0.4955375373498203,0.20078160447753568,-0.38742045476515563,0.12413001230109844,0.3844816543142099,0.8068441760453838,0.16113093604172385,0.17076161026522785,1h
equal_weight,576,0.6,2.0,test,-0.21940858094546253,0.3835978726740978,-0.5719754893736614,-0.585171681955492,-0.2737347467069363,0.3867691463079879,0.8021776923780767,0.17028090401683593,0.18326793296380905,1h
equal_weight,1152,0.6,2.0,train,0.3249856386032307,0.5970052820331382,0.5443597374825097,-0.6449071939543767,1.216358919279077,0.3975356086253698,0.8193186323847866,0.1350840272059048,0.15143236039763064,1h
equal_weight,1152,0.6,2.0,valid,0.11348831151067706,0.49612614382578596,0.2287489037274527,-0.49511444435645413,0.1415883283676047,0.39655961204135787,0.8233141184005855,0.14228200201299296,0.17076161026522785,1h
equal_weight,1152,0.6,2.0,test,-0.09526978192209733,0.3895016369357352,-0.24459404759270914,-0.5882016077957976,-0.11885884093910282,0.3899716350992771,0.8113276603531888,0.16332692835575074,0.18326793296380905,1h
equal_weight,-1,0.65,2.0,train,0.6395244318103865,0.573138777349355,1.1158282375658668,-0.46760136849445333,2.3936172997451015,0.34269680056119806,0.7000335498825754,0.10894561869033459,0.15143236039763064,1h
equal_weight,-1,0.65,2.0,valid,0.09611307729273601,0.45075156781445164,0.21322849249034714,-0.2985151661075085,0.1199109385539161,0.31146490987281544,0.6455302406441578,0.12590355933754233,0.17076161026522785,1h
equal_weight,-1,0.65,2.0,test,-0.3098070687058948,0.36289511526809987,-0.8537096689136071,-0.690895904609889,-0.3865161477039396,0.30359593741421903,0.6323542867599964,0.13121054076310734,0.18326793296380905,1h
equal_weight,288,0.65,2.0,train,0.30763999669641984,0.5768964167676066,0.5332673037217834,-0.5652199788119676,1.1514375081833492,0.3425138012016958,0.7186384847653033,0.16354042760850337,0.15143236039763064,1h
equal_weight,288,0.65,2.0,valid,-0.3117831645494586,0.46372529351009606,-0.6723445300761248,-0.5041193602371901,-0.3889815302923558,0.3396468112361607,0.7177234879677921,0.17430688992588525,0.17076161026522785,1h
equal_weight,288,0.65,2.0,test,0.08962364497951222,0.361063849574864,0.24822104202633394,-0.3658189821404645,0.1118147050206677,0.3423003019489432,0.7058285296001464,0.16552292066977767,0.18326793296380905,1h
equal_weight,576,0.65,2.0,train,0.36487235516138405,0.5790951343848896,0.6300732530742962,-0.533569383003976,1.3656472498489527,0.35160276939030716,0.7313569402507091,0.1459419892030378,0.15143236039763064,1h
equal_weight,576,0.65,2.0,valid,0.008142340372799243,0.46940274121974385,0.01734617133176802,-0.3507953806466194,0.010158406156882904,0.34092780675267637,0.716899990850032,0.15143196998810504,0.17076161026522785,1h
equal_weight,576,0.65,2.0,test,-0.11175536666857072,0.36487422750965837,-0.30628462698317743,-0.48943172007601665,-0.13942630163479386,0.3379083173208894,0.7031750388873639,0.1669869155457956,0.18326793296380905,1h
equal_weight,1152,0.65,2.0,train,0.28150067231900033,0.5724358591549723,0.49175932607462886,-0.5470380390292828,1.0536030300597763,0.3526702656540702,0.7291304480434319,0.13343703297038462,0.15143236039763064,1h
equal_weight,1152,0.65,2.0,valid,0.04615662005927576,0.4733066048045733,0.09751949284192574,-0.37093635140996095,0.05758512564244578,0.35053527312654403,0.7313569402507091,0.13752401866593467,0.17076161026522785,1h
equal_weight,1152,0.65,2.0,test,-0.04471026352237332,0.3693621012071373,-0.12104724165325213,-0.5445246375834855,-0.055780647264381145,0.3432152987464544,0.7136060023789916,0.15728794949217678,0.18326793296380905,1h
equal_weight,-1,0.7,2.0,train,0.5458986054132732,0.5462487823444317,0.9993589424041265,-0.4224510053285757,2.0431937871786903,0.2927074755238357,0.5999939000213499,0.1007106475127337,0.15143236039763064,1h
equal_weight,-1,0.7,2.0,valid,-0.11449513978423323,0.42265191471236935,-0.27089700956909546,-0.314143301183045,-0.14284445008012892,0.2556501052246317,0.5316131393540122,0.11730258944093695,0.17076161026522785,1h
equal_weight,-1,0.7,2.0,test,-0.256130028712892,0.33558144488752467,-0.7632425231339531,-0.5894513646426245,-0.31954852554829105,0.24576813981151066,0.5145026992405527,0.11840058559795041,0.18326793296380905,1h
equal_weight,288,0.7,2.0,train,0.3022398866054295,0.5448579018839215,0.5547132299272771,-0.806160714839939,1.131225931750322,0.29536096623661817,0.6236313172903895,0.15365846219538232,0.15143236039763064,1h
equal_weight,288,0.7,2.0,valid,-0.3035930392430031,0.43660978664070577,-0.695341809854655,-0.569435551681355,-0.37876350752132226,0.2945374691188581,0.6220148229481197,0.16113093604172385,0.17076161026522785,1h
equal_weight,288,0.7,2.0,test,0.06921278827593068,0.3424589111844871,0.20210537969807665,-0.26601205694711405,0.0863500642771231,0.2969164607923872,0.6148778479275323,0.15820294628968798,0.18326793296380905,1h
equal_weight,576,0.7,2.0,train,0.3372901212014529,0.5491299960294467,0.6142263646864521,-0.5568202237532378,1.2624122378804294,0.3072559246042639,0.6420227529203648,0.13962851130021045,0.15143236039763064,1h
equal_weight,576,0.7,2.0,valid,-0.1443003541258785,0.4488177893896397,-0.3215121092283725,-0.46113437212694997,-0.18002951715088655,0.2968249611126361,0.6288772989294538,0.14703998536005125,0.17076161026522785,1h
equal_weight,576,0.7,2.0,test,0.10407479168246321,0.3427446304595895,0.30365112224488633,-0.30928079171345924,0.12984399523945145,0.29179247872632447,0.6025253911611309,0.15015097447158934,0.18326793296380905,1h
