method,horizon,split,calendar,n_periods,mean_period_return,std_period_return,win_rate,total_return
linear,1w,valid,month,16,-0.009026362340083652,0.054756388230209625,0.125,-0.15550903259036497
linear,1w,valid,quarter,6,-0.02291000418840718,0.10578185745104345,0.16666666666666666,-0.15550903259036464
linear,1w,valid,year,3,-0.05356810400771531,0.05842384674224487,0.0,-0.15550903259036308
linear,1w,test,month,16,-0.0022334317546469293,0.018482998378582884,0.125,-0.037596851617469285
linear,1w,test,quarter,6,-0.0057650226457123255,0.03807218484975084,0.16666666666666666,-0.03759685161746629
linear,1w,test,year,2,-0.018691639856382447,0.03355441268215998,0.5,-0.03759685161746651
ridge,1w,train,month,46,0.00040900967110381385,0.07333848226526618,0.32608695652173914,-0.09504071292094629
ridge,1w,train,quarter,16,0.002209389541501308,0.1331988764249564,0.5,-0.09504071292094851
ridge,1w,train,year,4,0.019929461229388185,0.3543021243539859,0.5,-0.09504071292094884
ridge,1w,valid,month,16,-0.009530287675320145,0.05355527891041472,0.125,-0.16161153473161094
ridge,1w,valid,quarter,6,-0.024279865967890762,0.10331504492362896,0.16666666666666666,-0.16161153473161105
ridge,1w,valid,year,3,-0.055697763009402435,0.061846326618164506,0.0,-0.16161153473161327
ridge,1w,test,month,16,-0.0022334317546469293,0.018482998378582884,0.125,-0.037596851617469285
ridge,1w,test,quarter,6,-0.0057650226457123255,0.03807218484975084,0.16666666666666666,-0.03759685161746629
ridge,1w,test,year,2,-0.018691639856382447,0.03355441268215998,0.5,-0.03759685161746651
tree,1w,train,month,46,0.03096828631464944,0.08526175077513368,0.391304347826087,2.5334907164798075
tree,1w,train,quarter,16,0.09101854735516501,0.15191015549101236,0.5,2.5334907164798044
tree,1w,train,year,4,0.5262217891526705,0.9150127280566815,1.0,2.5334907164798106
tree,1w,valid,month,16,-0.003925122256099575,0.04283379255937453,0.25,-0.07390559483464765
tree,1w,valid,quarter,6,-0.010255237590320302,0.07563980202744061,0.3333333333333333,-0.07390559483464876
tree,1w,valid,year,3,-0.022319368351459756,0.09188009790533785,0.3333333333333333,-0.07390559483464931
tree,1w,test,month,16,-0.004057790371759316,0.01863971251248977,0.0625,-0.06552290229485602
tree,1w,test,quarter,6,-0.011081523303912544,0.01871646176401529,0.0,-0.06552290229485758
tree,1w,test,year,2,-0.03276145114742879,0.04633168853571739,0.0,-0.06552290229485758
