rank,factor,pearson_ic,clipped_ic,spearman_ic,n_obs,direction,score
1,factor_mfi_14,0.012898010205015,0.0135528182619432,-0.0187870054778885,56648,1,0.0135528182619432
2,factor_ret_autocorr_12w,-0.0109625959901062,-0.0108435165217686,-0.0126254874152519,54665,-1,0.0108435165217686
3,factor_mom_4w,0.0050098208536849,0.0094300322535156,0.0081084135402659,56010,1,0.0094300322535156
4,factor_rev_2w,-0.0040466737193598,-0.0088391374105496,-0.007434519187931,56346,-1,0.0088391374105496
5,factor_minus_di,-0.0090326180878619,-0.0087535276011467,0.0215832572613945,56669,-1,0.0087535276011467
