period,ann_return,ann_vol,sharpe,max_drawdown,total_return,hit_rate,avg_abs_position,turnover_per_bar,ic,exit_mode,symbol
train,0.36234263271762285,0.3212960811720263,1.1277530413563297,-0.43391045901895264,1.3561789838941758,0.09622716320492879,0.20001829993595022,0.08680269619056333,0.08132156267260948,none,BTC/USDT
valid,-0.11806427725293202,0.23523789493951408,-0.501893103929065,-0.3883227549703022,-0.1472973157645343,0.08134321529874645,0.17165339921310274,0.08966968615609845,0.09220648123502907,none,BTC/USDT
test,-0.30869839024886736,0.19944961437777456,-1.5477512514221579,-0.46294354634980395,-0.38513295742348763,0.08536920120779577,0.18656784701253545,0.09479366822216122,0.08091216977019669,none,BTC/USDT
train,0.2154319940359715,0.2908145921184837,0.7407881168088023,-0.5449296404246802,0.8063206379518304,0.0848812029157898,0.17860737487418793,0.121877573428493,0.08132156267260948,fixed,BTC/USDT
valid,-0.23576074887067366,0.22043649567851314,-1.0695177681217976,-0.44540984190267374,-0.29413575621091326,0.0741147405984079,0.15893494372769695,0.11034861377985176,0.09220648123502907,fixed,BTC/USDT
test,-0.3886536883481908,0.18967421216706426,-2.0490591942243905,-0.524771402213939,-0.48488540638781064,0.08097721657974197,0.1784243755146857,0.10906761826333608,0.08091216977019669,fixed,BTC/USDT
train,0.20451534978902253,0.29507316137018297,0.6931004800278956,-0.6442931863659997,0.7654617321385095,0.08460670387653643,0.17824137615518346,0.12230457193399823,0.08132156267260948,atr,BTC/USDT
valid,-0.12019626327675108,0.22024077139661205,-0.5457493747163658,-0.3639135734348262,-0.14995718736890984,0.07237624668313661,0.15362796230213194,0.11766858815994144,0.09220648123502907,atr,BTC/USDT
test,-0.3485583606160936,0.18582782531214712,-1.8757059661576374,-0.5264166517267154,-0.4348623656590306,0.07612773355293256,0.16890840882056912,0.12077957727147955,0.08091216977019669,atr,BTC/USDT
train,0.3619291555718905,0.3212011845432587,1.1267989440529185,-0.43882868623579574,1.3546314182346846,0.09610516363192728,0.19971330100344648,0.0872906944825693,0.08132156267260948,time,BTC/USDT
valid,-0.10920582830487054,0.23500285705315677,-0.4647000026904719,-0.3772709297929775,-0.13624549058720958,0.08125171561899533,0.17147039985360052,0.09003568487510294,0.09220648123502907,time,BTC/USDT
test,-0.3120092271223461,0.19942295944017432,-1.5645602091064492,-0.4670741555039415,-0.3892635665776252,0.08527770152804465,0.18647634733278434,0.09497666758166347,0.08091216977019669,time,BTC/USDT
train,0.35888485069212855,0.32107887956164083,1.1177466770224906,-0.43391045901895264,1.3432371689090292,0.09610516363192728,0.19986580046969835,0.08704669533656632,0.08132156267260948,trailing,BTC/USDT
valid,-0.11806427725293202,0.23523789493951408,-0.501893103929065,-0.3883227549703022,-0.1472973157645343,0.08134321529874645,0.17165339921310274,0.08966968615609845,0.09220648123502907,trailing,BTC/USDT
test,-0.3191540752438981,0.19911745651008367,-1.6028432706890043,-0.4759880875953164,-0.3981774986690001,0.08527770152804465,0.18647634733278434,0.09497666758166347,0.08091216977019669,trailing,BTC/USDT
train,0.012402144215370378,0.39600254113588107,0.03131834502828306,-0.8829268694859678,0.046433005003604144,0.09485623685093149,0.20001829435619112,0.06921364758971857,0.10055188633529408,none,ETH/USDT
valid,0.07063634260983984,0.3123249755753996,0.22616296528865729,-0.3307161425758891,0.0881502850925513,0.0734540797658251,0.15450054884742043,0.06055616538602269,0.11656197216554243,none,ETH/USDT
test,0.5487964722139995,0.3443032845005626,1.5939333050803435,-0.16559361149748697,0.684930574282625,0.10527759992682703,0.2183298271288759,0.07481935424860514,0.13351147346045517,none,ETH/USDT
train,0.07373200687411675,0.3396703264001121,0.21706932028929926,-0.8996662818140706,0.27604893030258904,0.08025124249169131,0.16919230417416228,0.1215964874836113,0.10055188633529408,fixed,ETH/USDT
valid,0.0008819031201159998,0.28269588037003024,0.0031196178697816424,-0.24836923074898443,0.0011005667704444555,0.06339187705817782,0.13611416026344675,0.09129162092938163,0.11656197216554243,fixed,ETH/USDT
test,0.22685664895316643,0.30090530214847944,0.7539137640094681,-0.17872610235554331,0.2831305642699822,0.09100887222171408,0.19180462818988384,0.12073538827403274,0.13351147346045517,fixed,ETH/USDT
train,-0.06464428216222698,0.3667890884779205,-0.1762437438651296,-0.8764914052261831,-0.24202494544229236,0.08333079245052902,0.17711985852364545,0.10854651340061591,0.10055188633529408,atr,ETH/USDT
valid,-0.05737165637468223,0.2906760915060342,-0.19737315194184535,-0.31443749663170395,-0.07159668350320325,0.06494694474935968,0.13876692279546285,0.08726673984632272,0.11656197216554243,atr,ETH/USDT
test,0.247344705989966,0.3148739944981611,0.7855355167840338,-0.20903370195139503,0.3087008756379417,0.09183206805085521,0.19308515503521448,0.11780846977041982,0.13351147346045517,atr,ETH/USDT
train,0.010064354172216645,0.39490337902527145,0.025485611688251943,-0.8645564155062879,0.03768043650528341,0.09427691557154617,0.19882916120376865,0.07128700795804495,0.10055188633529408,time,ETH/USDT
valid,0.05406984286368367,0.3121183254758901,0.1732350792964265,-0.3367550722300623,0.06747620116275921,0.07308818148554702,0.1539517014270033,0.061653860226856934,0.11656197216554243,time,ETH/USDT
test,0.5527728119067886,0.3430152075934195,1.611511092423627,-0.16301912173225808,0.6898932822576547,0.10509466752035124,0.21759809750297265,0.07628281350041159,0.13351147346045517,time,ETH/USDT
train,0.047870153018274006,0.39451309653074346,0.12133983241426714,-0.8341522619197916,0.17922344846352312,0.09482574625727963,0.1998048602006281,0.06945757233893345,0.10055188633529408,trailing,ETH/USDT
valid,0.06859548489601673,0.31225895889784977,0.21967499391572806,-0.3307161425758891,0.08560340649352005,0.07336260519575558,0.1544090742773509,0.06073911452616173,0.11656197216554243,trailing,ETH/USDT
test,0.5513124409966923,0.3436110021212513,1.6044667882961112,-0.16559361149748697,0.6880706526731704,0.10509466752035124,0.21805542851916218,0.07536815146803257,0.13351147346045517,trailing,ETH/USDT
