scope,symbol,exit_mode,sharpe,ann_return,max_drawdown,hit_rate
single_asset,BTC/USDT,none,-1.5477512514221579,-0.30869839024886736,-0.46294354634980395,0.08536920120779577
single_asset,BTC/USDT,fixed,-2.0490591942243905,-0.3886536883481908,-0.524771402213939,0.08097721657974197
single_asset,BTC/USDT,atr,-1.8757059661576374,-0.3485583606160936,-0.5264166517267154,0.07612773355293256
single_asset,BTC/USDT,time,-1.5645602091064492,-0.3120092271223461,-0.4670741555039415,0.08527770152804465
single_asset,BTC/USDT,trailing,-1.6028432706890043,-0.3191540752438981,-0.4759880875953164,0.08527770152804465
single_asset,ETH/USDT,none,1.5939333050803435,0.5487964722139995,-0.16559361149748697,0.10527759992682703
single_asset,ETH/USDT,fixed,0.7539137640094681,0.22685664895316643,-0.17872610235554331,0.09100887222171408
single_asset,ETH/USDT,atr,0.7855355167840338,0.247344705989966,-0.20903370195139503,0.09183206805085521
single_asset,ETH/USDT,time,1.611511092423627,0.5527728119067886,-0.16301912173225808,0.10509466752035124
single_asset,ETH/USDT,trailing,1.6044667882961112,0.5513124409966923,-0.16559361149748697,0.10509466752035124
portfolio,BTC+ETH,baseline:equal,0.5073286845351733,0.12014947038547845,-0.17362776639093003,0.14374599688901088
portfolio,BTC+ETH,baseline:sharpe,-1.501261280848756,-0.29888635609093855,-0.45171139170815455,0.13541952603165888
portfolio,BTC+ETH,baseline:risk_target,0.33153682306073823,0.07578974748903582,-0.18251766119374446,0.14374599688901088
portfolio,BTC+ETH,baseline:mvo,0.5073286845351733,0.12014947038547845,-0.17362776639093003,0.14374599688901088
portfolio,BTC+ETH,fixed_tpsl:equal,-0.3920881958286267,-0.08085700507605494,-0.17604543679619955,0.13276603531887637
portfolio,BTC+ETH,fixed_tpsl:sharpe,-1.4696452757531107,-0.2693513736925529,-0.3888200528046408,0.13212553756061854
portfolio,BTC+ETH,fixed_tpsl:risk_target,-0.5189489084412404,-0.10450395322172248,-0.2014066158929021,0.13267453563912526
portfolio,BTC+ETH,fixed_tpsl:mvo,-0.3920881958286267,-0.08085700507605494,-0.17604543679619955,0.13276603531887637
