sleeve,method,period,ann_return,ann_vol,sharpe,max_drawdown,total_return,hit_rate
baseline,equal,train,0.18375728486402432,0.30236951178880545,0.607724250295355,-0.4714371142004927,0.687747299263942,0.14719697431830658
baseline,equal,valid,-0.02502148307034132,0.22352720146414193,-0.11193932061264251,-0.26399802895400837,-0.031214014496883102,0.12033308931185945
baseline,equal,test,0.12014947038547845,0.23682767020272522,0.5073286845351733,-0.17362776639093003,0.14989880842955694,0.14374599688901088
baseline,sharpe,train,0.35826740088129855,0.31954063328962545,1.1211951268700526,-0.43112617874124903,1.3408852745768667,0.14082230220215947
baseline,sharpe,valid,-0.11643736580321919,0.2337225692753379,-0.4981862306418925,-0.38426451884758595,-0.14525428464584234,0.11511713030746706
baseline,sharpe,test,-0.29888635609093855,0.19909016498577756,-1.501261280848756,-0.45171139170815455,-0.3728914367257796,0.13541952603165888
baseline,risk_target,train,0.2022311715821281,0.29847885244192396,0.677539363099357,-0.4512553366410317,0.7568894054214308,0.14683096443603977
baseline,risk_target,valid,-0.03469889719615328,0.21923388762809848,-0.1582734200974231,-0.2626514312149,-0.04328647814606845,0.12033308931185945
baseline,risk_target,test,0.07578974748903582,0.22860129619795197,0.33153682306073823,-0.18251766119374446,0.09455549661046492,0.14374599688901088
baseline,mvo,train,0.18375728486402432,0.30236951178880545,0.607724250295355,-0.4714371142004927,0.687747299263942,0.14719697431830658
baseline,mvo,valid,-0.02502148307034132,0.22352720146414193,-0.11193932061264251,-0.26399802895400837,-0.031214014496883102,0.12033308931185945
baseline,mvo,test,0.12014947038547845,0.23682767020272522,0.5073286845351733,-0.17362776639093003,0.14989880842955694,0.14374599688901088
fixed_tpsl,equal,train,0.13792354937043505,0.25572586902894934,0.5393414045053904,-0.5726202924045689,0.5162056495045282,0.13081803208686635
fixed_tpsl,equal,valid,-0.11876508989738926,0.2007475020044253,-0.5916142851669018,-0.29299137362885297,-0.14815809388112577,0.10962664714494876
fixed_tpsl,equal,test,-0.08085700507605494,0.20622147245513045,-0.3920881958286267,-0.17604543679619955,-0.10087742105893116,0.13276603531887637
fixed_tpsl,sharpe,train,0.18539366423060652,0.2626202838166076,0.7059381001966709,-0.4950482466097843,0.6938717666055791,0.12996400902824376
fixed_tpsl,sharpe,valid,-0.190734269698619,0.19922623629072522,-0.9573752596534819,-0.3849379251582631,-0.23793882411718204,0.10926061493411421
fixed_tpsl,sharpe,test,-0.2693513736925529,0.1832764532615025,-1.4696452757531107,-0.3888200528046408,-0.33604351176779645,0.13212553756061854
fixed_tpsl,risk_target,train,0.14387875828625782,0.2538256409399977,0.5668409139180292,-0.5499140067194124,0.5384941745631413,0.13045202220459953
fixed_tpsl,risk_target,valid,-0.1277937493493245,0.19808331067106005,-0.6451515219348318,-0.30452622929667816,-0.15942124348052822,0.10971815519765739
fixed_tpsl,risk_target,test,-0.10450395322172248,0.20137618852618758,-0.5189489084412404,-0.2014066158929021,-0.13037941835162248,0.13267453563912526
fixed_tpsl,mvo,train,0.13792354937043505,0.25572586902894934,0.5393414045053904,-0.5726202924045689,0.5162056495045282,0.13081803208686635
fixed_tpsl,mvo,valid,-0.11876508989738926,0.2007475020044253,-0.5916142851669018,-0.29299137362885297,-0.14815809388112577,0.10962664714494876
fixed_tpsl,mvo,test,-0.08085700507605494,0.20622147245513045,-0.3920881958286267,-0.17604543679619955,-0.10087742105893116,0.13276603531887637
